value,evcs
3.5415962,0
12.553461,0
1.7263323,0
20.281088,0
17.127802,0
4.213449,0
0.0039345426,0
0.0018577841,0
1.4616569,0
15.571029,0
0.05770429,0
177.35922,0
73.29149,0
10.225622,0
0.096430786,0
5.7321286,0
226.9892,0
80.94599,0
2.7330736e-13,0
4.1140756e-14,0
0.101140246,0
0.035397884,0
11.707078,0
0.33992848,0
4.6348753,0
17.018171,0
17.65999,0
72.144905,0
47.693764,0
471.1567,0
87.61237,0
76.056145,0
705.123,0
134.97713,0
285.24454,0
102.677086,0
133.91643,0
162.97978,0
7.516434,0
11.515744,0
21.448612,0
26.736784,0
0.020484619,0
0.095194936,0
0.12956193,0
21.642578,0
0.0064302525,0
9.099346e-14,0
0.018815814,0
510.6613,0
463.77127,0
107.078995,0
8.908826,0
3.3789258e-13,0
2.0997559e-05,0
0.16117525,0
496.48267,0
196.71716,0
0.021770468,0
36.009884,0
1057.3319,0
5.936613,0
0.0022127428,0
10.785449,0
535.43445,0
1181.7333,0
1560.1268,0
1231.3906,0
1267.0619,0
497.23825,0
173.0143,0
15.337646,0
29.871172,0
105.0966,0
30.055704,0
19.699238,0
31.502066,0
231.21533,0
638.61707,0
501.36505,0
1027.4801,0
1730.9391,0
1378.7676,0
1390.7423,0
690.1928,0
317.4052,0
94.48185,0
380.97128,0
908.6939,0
0.09521393,0
1.1235723,0
2.176711,0
0.43747512,0
0.06630729,0
92.69877,0
241.95763,0
713.5534,0
1288.4633,0
368.14307,0
132.2495,0
55.6451,0
11.419205,0
19.572224,0
17.682459,0
21.849575,0
15.780835,0
0.00455847,0
2.914264e-10,0
0.8738464,0
2046.8888,0
1538.991,0
1516.1858,0
1673.0555,0
1454.891,0
1006.4852,0
307.84753,0
97.92318,0
43.37332,0
33.831585,0
33.62231,0
53.660164,0
33.719376,0
218.25981,0
306.86133,0
1326.1813,0
1456.7721,0
27.548386,0
26.71572,0
9.704772,0
24.595058,0
7.1924477,0
5.4467006,0
0.00249471,0
46.571293,0
2.477286,0
416.4337,0
1081.6561,0
1213.0515,0
1259.8684,0
1791.9503,0
2160.2844,0
2175.173,0
2672.3237,0
1069.4862,0
143.54442,0
720.0593,0
634.5724,0
85.81903,0
0.0842522,0
0.0030856412,0
0.032018278,0
8.174421,0
99.0464,0
1241.4679,0
3836.472,0
1585.4045,0
21.592592,0
0.0010358795,0
0.019166773,0
0.1324796,0
2.9046602,0
923.4432,0
1349.8187,0
2061.5325,0
1962.1876,0
1249.2991,0
1767.0217,0
1474.868,0
2011.2018,0
1937.6859,0
2313.8276,0
263.64294,0
21.063475,0
122.8981,0
24.98249,0
16.14544,0
232.54048,0
1242.8765,0
1621.3107,0
1857.3527,0
1320.7377,0
870.7247,0
1396.0876,0
220.38448,0
166.69714,0
18.220575,0
13.525914,0
2850.516,0
3342.6182,0
751.49365,0
508.6588,0
1545.0095,0
1551.8589,0
2198.451,0
1931.3563,0
2264.3535,0
2355.2742,0
2174.82,0
2309.6074,0
1984.38,0
1707.9479,0
1666.8231,0
1145.3447,0
1173.5736,0
1187.0938,0
967.92017,0
1358.6765,0
806.8415,0
593.1817,0
293.11255,0
43.691303,0
11.190669,0
12.199481,0
0.14136656,0
0.13084179,0
1.7954302,0
248.1881,0
2567.0977,0
2544.6401,0
1990.6493,0
2296.1558,0
1766.3265,0
1827.8312,0
2124.7476,0
1441.8624,0
1258.5457,0
200.78287,0
0.067298174,0
14.9708395,0
108.59853,0
131.71045,0
21.985546,0
137.99846,0
427.96155,0
14.525856,0
5.956823,0
3.673642,0
0.07964074,0
46.843086,0
19.503084,0
189.05627,0
1251.6492,0
1402.9655,0
775.94867,0
570.2063,0
18.353994,0
3.1658819,0
124.99805,0
29.747591,0
1165.9191,0
378.30676,0
1383.3486,0
1559.156,0
341.70755,0
10.86866,0
29.41334,0
17.140528,0
40.49596,0
0.24379265,0
24.158623,0
33.039135,0
40.636223,0
64.52826,0
36.711025,0
18.864462,0
54.058884,0
67.594215,0
71.33744,0
137.20651,0
14.7761755,0
0.3121017,0
57.081196,0
51.545082,0
2.692162,0
751.8038,0
1995.0396,0
1262.3052,0
934.0335,0
1572.91,0
1290.7809,0
1406.2664,0
1046.7147,0
81.56782,0
48.702847,0
44.118835,0
104.88444,0
220.10796,0
210.52122,0
205.95062,0
328.81714,0
204.20676,0
113.66855,0
104.95179,0
3.546553,0
13.445604,0
0.36966702,0
34.007816,0
55.30223,0
2.3453932,0
1.8938088,0
137.12996,0
28.91738,0
14.884854,0
48.26009,0
632.5031,0
679.9962,0
816.3262,0
796.12366,0
581.1435,0
808.29114,0
505.7442,0
1189.5084,0
83.32278,0
33.94363,0
289.2385,0
286.0314,0
265.4422,0
141.47868,0
6.3598604,0
9.519686,0
1.5018433,0
0.09248225,0
107.43111,0
